Area_1;Area_2;Dirt;B_cells;CD4;CD8;epithelial;LP;lymphocytes;macrophages;monocytes;muscular;epithel_prolif;strong_infiltrate;T_cells;Tregs;B_cells_2;T_cells_2;Monocytes_2;Macrophages_2
88;213;12652;;;7403;10773;95;453;11465;;348;10848;829;2101;;;1300;2741;2426
90;214;12735;;;7423;10774;97;457;11482;;360;10850;830;2159;;;1313;2746;2485
91;216;12741;;;7466;10775;98;458;11874;;366;10851;831;2218;;;1323;2786;2499
92;217;12751;;;7491;10776;99;459;11903;;367;10853;837;2236;;;1325;2791;2529
94;221;12756;;;7523;10778;100;460;13445;;368;10855;851;2244;;;1330;2830;2584
97;222;12787;;;7650;10779;101;461;13461;;369;10856;852;2265;;;1346;2867;2586
98;225;12788;;;7669;10780;102;464;14148;;374;10858;857;2316;;;1347;2911;2642
99;226;12791;;;7670;10781;103;469;14384;;380;10859;864;2344;;;1348;2932;2644
102;228;12799;;;7674;10782;104;490;15570;;382;10861;872;2345;;;1370;2938;2677
103;231;12805;;;7710;10783;105;491;16308;;384;10862;890;2402;;;1381;2989;2737
104;238;12821;;;7754;10784;107;499;;;390;10863;891;2407;;;1386;2992;2779
105;241;12827;;;7931;10785;109;513;;;393;10864;905;2448;;;1401;3036;2800
107;243;12831;;;7945;10786;110;514;;;395;10865;906;2474;;;1402;3037;2884
108;245;12832;;;7955;10787;111;532;;;408;10866;912;2624;;;1428;3091;2973
109;248;12857;;;8034;10788;113;569;;;414;10867;919;2826;;;1433;3130;2988
110;249;;;;8039;10789;115;607;;;415;10868;939;2968;;;1443;3167;2997
111;251;;;;8095;10790;116;608;;;417;10870;950;2993;;;1465;3345;3004
113;252;;;;8105;10791;117;625;;;436;10871;959;3148;;;1468;3430;3022
115;253;;;;8170;10792;118;631;;;439;10873;960;3157;;;1470;3455;3095
116;254;;;;8296;10793;119;638;;;441;10874;966;3179;;;1500;3457;3119
117;258;;;;8600;10794;120;658;;;446;10876;967;3212;;;1520;3509;3218
118;263;;;;11637;10795;121;663;;;448;10881;974;3246;;;1521;3513;3270
119;268;;;;11748;10796;123;670;;;451;10882;980;3278;;;1529;3606;3278
120;269;;;;11896;10797;124;678;;;470;10883;990;3353;;;1550;3687;3300
123;270;;;;12159;10799;125;687;;;471;10884;1002;3411;;;1559;3706;3349
124;275;;;;13016;10800;127;689;;;474;10885;1004;3531;;;1560;3712;3373
125;276;;;;13213;10801;128;703;;;483;10887;1008;3583;;;1574;3731;3381
127;277;;;;14273;10802;130;704;;;492;10889;1032;3636;;;1575;3758;3485
128;283;;;;15994;10803;131;721;;;497;10891;1050;3641;;;1579;3768;3526
129;289;;;;17300;10804;133;734;;;501;10894;1069;3701;;;1603;3773;3534
130;292;;;;;10805;135;737;;;515;10898;1073;3736;;;1619;3789;3543
131;294;;;;;10806;136;756;;;531;10899;1074;3788;;;1620;3836;3571
133;295;;;;;10807;137;757;;;540;10901;1078;3803;;;1628;3841;3578
135;298;;;;;10808;138;760;;;548;10902;1101;3864;;;1640;3920;3591
136;301;;;;;10809;141;767;;;549;10903;1107;3947;;;1642;4027;3610
138;302;;;;;10810;142;769;;;550;10906;1115;3952;;;1643;4049;3630
139;306;;;;;10811;143;772;;;551;10907;1123;3962;;;1662;4072;3678
141;310;;;;;10812;146;773;;;555;10910;1146;3997;;;1667;4254;3696
142;311;;;;;10813;148;779;;;563;10911;1152;4255;;;1672;4649;3765
146;312;;;;;10814;149;780;;;568;10914;1179;4359;;;1682;4680;3812
148;318;;;;;10816;152;782;;;571;10915;1187;4375;;;1686;4724;3820
149;319;;;;;10817;153;788;;;574;10916;1197;4377;;;1712;4866;3895
150;320;;;;;10818;154;793;;;575;10919;1219;4381;;;1726;4909;3922
152;322;;;;;10819;156;799;;;580;10922;1237;4397;;;1728;4925;3932
153;329;;;;;10820;159;803;;;581;10924;1272;4425;;;1729;5077;3988
154;336;;;;;10821;160;809;;;584;10928;1281;4463;;;1738;5115;4002
155;337;;;;;10822;161;815;;;588;10939;1300;4476;;;1747;5157;4019
156;338;;;;;10823;162;818;;;590;10940;1308;4575;;;1764;5169;4026
159;339;;;;;10825;163;819;;;600;10944;1313;4622;;;1781;5186;4041
160;342;;;;;10826;164;833;;;606;10945;1381;4688;;;1783;5188;4070
161;344;;;;;10827;165;839;;;609;10957;1393;4742;;;1796;5202;4173
163;347;;;;;10828;174;841;;;621;10959;1401;4798;;;1803;5275;4205
164;348;;;;;10829;175;847;;;636;10960;1402;4821;;;1823;5339;4219
165;351;;;;;10830;176;851;;;642;10972;1410;4896;;;1849;5348;4246
174;352;;;;;10831;177;861;;;649;10979;1433;4903;;;1875;5360;4259
175;353;;;;;10832;178;864;;;654;10983;1476;4918;;;1886;5366;4380
176;355;;;;;10833;181;865;;;660;10988;1482;4965;;;1925;5425;4402
177;358;;;;;10834;183;867;;;683;10993;1500;5037;;;1939;5439;4458
178;362;;;;;10835;185;869;;;686;11000;1542;5129;;;1941;5630;4497
179;364;;;;;10836;186;874;;;688;11023;1559;5133;;;1961;5765;4564
186;365;;;;;10837;189;877;;;699;11025;1560;5138;;;1970;5844;4710
191;368;;;;;10839;190;882;;;706;11037;1572;5237;;;1997;5859;4712
192;371;;;;;10840;191;883;;;707;11045;1575;5495;;;2028;5913;4743
195;374;;;;;10841;192;886;;;712;11047;1620;5566;;;2049;5928;4787
196;378;;;;;10842;195;890;;;713;11080;1667;5592;;;2057;6022;4795
199;379;;;;;10843;196;891;;;715;11095;1682;5737;;;2075;6062;4845
200;382;;;;;10844;197;893;;;716;11096;1718;6008;;;2077;6074;4892
201;383;;;;;10845;199;899;;;722;11105;1728;6171;;;2079;6085;4937
204;384;;;;;10846;200;900;;;730;11106;1729;6367;;;2083;6122;4962
205;385;;;;;10847;203;903;;;731;11111;1764;6376;;;2096;6159;5030
206;386;;;;;10848;204;906;;;742;11118;1790;6500;;;2100;6169;5046
208;387;;;;;10849;205;912;;;762;11119;1811;6640;;;2101;6375;5054
209;388;;;;;10850;206;913;;;765;11131;1814;6649;;;2115;6396;5067
210;390;;;;;10851;208;915;;;770;11140;1829;6657;;;2141;6572;5100
211;394;;;;;10852;209;918;;;775;11145;1868;6685;;;2155;6584;5166
215;395;;;;;10853;210;922;;;776;11149;1896;6706;;;2159;6631;5170
218;397;;;;;10854;211;923;;;784;11151;1925;6757;;;2176;6672;5199
219;398;;;;;10855;213;926;;;791;11162;1939;6780;;;2199;6686;5235
220;400;;;;;10856;215;931;;;794;11164;1970;6840;;;2218;6687;5463
223;402;;;;;10857;218;935;;;800;11168;2010;6857;;;2221;6728;5522
224;403;;;;;10858;219;936;;;806;11183;2032;6900;;;2222;6737;5541
227;404;;;;;10859;220;939;;;829;11198;2069;6915;;;2236;6970;5545
229;407;;;;;10860;223;946;;;836;11202;2079;6921;;;2244;6988;5581
230;414;;;;;10861;224;949;;;842;11205;2096;6923;;;2254;7022;5685
232;415;;;;;10862;227;958;;;846;11208;2115;6939;;;2259;7036;5749
233;416;;;;;10863;229;959;;;853;11254;2132;6948;;;2265;7084;5779
234;417;;;;;10864;230;960;;;859;11261;2142;6992;;;2273;7131;5799
235;419;;;;;10865;232;962;;;892;11266;2199;7080;;;2281;7141;5820
236;420;;;;;10866;233;963;;;914;11272;2273;7136;;;2316;7185;5850
237;423;;;;;10867;235;964;;;921;11280;2281;7193;;;2323;7252;5852
239;425;;;;;10868;236;965;;;933;11302;2298;7251;;;2327;7255;5864
240;431;;;;;10869;237;969;;;938;11309;2299;7303;;;2344;7317;6008
242;432;;;;;10870;238;970;;;945;11321;2312;7377;;;2345;7363;6036
244;434;;;;;10871;239;973;;;955;11337;2317;7389;;;2354;7429;6069
246;435;;;;;10872;242;978;;;966;11339;2319;7403;;;2365;7430;6261
247;438;;;;;10873;243;980;;;967;11350;2327;7418;;;2392;7486;6308
250;439;;;;;10874;244;982;;;984;11378;2346;7423;;;2402;7680;6337
255;444;;;;;10875;245;986;;;995;11406;2349;7432;;;2407;7760;6346
256;445;;;;;10876;246;989;;;1004;11421;2358;7466;;;2434;7989;6371
257;448;;;;;10878;247;994;;;1018;11448;2389;7475;;;2448;8008;6571
259;451;;;;;10880;249;998;;;1053;11450;2392;7491;;;2474;8189;6595
260;453;;;;;10881;250;1000;;;1087;11476;2398;7523;;;2560;8261;6659
261;457;;;;;10882;252;1003;;;1095;11509;2415;7568;;;2582;8431;6747
262;458;;;;;10883;255;1007;;;1102;11537;2434;7650;;;2624;8497;6755
264;461;;;;;10884;256;1008;;;1115;11544;2443;7669;;;2674;8562;6803
265;467;;;;;10885;257;1014;;;1119;11551;2504;7670;;;2826;8709;6812
266;470;;;;;10886;258;1015;;;1126;11622;2509;7674;;;2864;8928;6926
267;472;;;;;10887;261;1016;;;1140;11757;2543;7710;;;2893;8955;7119
271;474;;;;;10888;262;1022;;;1149;11771;2560;7739;;;2953;9145;7201
272;480;;;;;10889;264;1032;;;1155;11783;2630;7754;;;2966;9193;7414
273;481;;;;;10890;265;1041;;;1156;11795;2843;7774;;;2968;9251;7417
274;483;;;;;10891;266;1043;;;1171;11829;2897;7796;;;2993;9318;7523
278;490;;;;;10892;267;1049;;;1190;11931;11397;7905;;;3068;9328;7526
279;491;;;;;10893;268;1050;;;1194;11947;11435;7931;;;3080;9332;7619
280;492;;;;;10894;270;1061;;;1200;11958;11512;7945;;;3092;9333;7674
281;500;;;;;10895;271;1063;;;1220;11959;11567;7955;;;3147;9337;7678
282;501;;;;;10896;272;1068;;;1225;11982;11586;8034;;;3148;9342;7694
284;508;;;;;10897;273;1069;;;1232;12017;11621;8039;;;3157;9384;7736
285;511;;;;;10898;274;1071;;;1239;12019;11626;8095;;;3168;9388;7759
286;513;;;;;10899;276;1073;;;1245;12025;11638;8105;;;3179;9402;7924
287;514;;;;;10901;277;1076;;;1250;12036;11646;8170;;;3212;9412;7945
288;520;;;;;10902;278;1078;;;1252;12041;11656;8279;;;3221;9575;8016
290;521;;;;;10903;279;1088;;;1269;12057;11669;8296;;;3246;9634;8073
291;532;;;;;10905;280;1089;;;1282;12066;11694;8311;;;3278;9819;8118
293;533;;;;;10906;281;1092;;;1283;12085;11703;8345;;;3353;9922;8209
296;534;;;;;10907;282;1094;;;1286;12094;11708;8600;;;3388;10747;8210
297;535;;;;;10908;283;1097;;;1293;12095;11713;9152;;;3411;10969;8211
299;536;;;;;10909;284;1098;;;1294;12099;11748;9375;;;3531;10991;8273
300;537;;;;;10910;287;1099;;;1296;12112;11753;9402;;;3539;11004;8321
303;543;;;;;10911;288;1101;;;1301;12138;11757;9612;;;3583;11017;8335
304;544;;;;;10912;289;1107;;;1308;12140;11795;9729;;;3584;11051;8368
305;545;;;;;10913;290;1111;;;1314;12144;11816;9900;;;3589;11054;8544
307;554;;;;;10914;291;1113;;;1319;12151;11831;10360;;;3636;11085;8643
308;558;;;;;10915;292;1114;;;1321;12168;11836;10457;;;3641;11142;8771
309;561;;;;;10916;293;1118;;;1327;12171;11839;11637;;;3701;11340;8772
313;564;;;;;10917;295;1122;;;1331;12184;11861;11748;;;3736;11539;8800
314;565;;;;;10918;296;1123;;;1332;12192;11864;11896;;;3788;11591;8825
315;569;;;;;10919;297;1125;;;1350;12193;11865;11920;;;3803;11595;8856
316;570;;;;;10920;299;1130;;;1365;12199;11876;11983;;;3833;11616;8964
317;576;;;;;10921;300;1131;;;1371;12200;11886;12159;;;3848;11647;8984
