Area_1;Area_2;Dirt;B_cells;CD4;CD8;epithelial;LP;lymphocytes;macrophages;monocytes;muscular;epithel_prolif;strong_infiltrate;T_cells;Tregs;B_cells_2;T_cells_2;Monocytes_2;Macrophages_2
1695;2143;;;;;11962;1255;3752;;;4940;;;;;;;;
1696;2152;;;;;11963;1256;3754;;;4942;;;;;;;;
1697;2155;;;;;11964;1257;3755;;;4944;;;;;;;;
1698;2158;;;;;11965;1258;3758;;;4948;;;;;;;;
1701;2159;;;;;11967;1259;3760;;;4951;;;;;;;;
1704;2163;;;;;11968;1260;3766;;;4954;;;;;;;;
1705;2164;;;;;11969;1261;3773;;;4955;;;;;;;;
1708;2165;;;;;11971;1262;3774;;;4960;;;;;;;;
1709;2167;;;;;11972;1263;3777;;;4966;;;;;;;;
1710;2168;;;;;11974;1264;3780;;;4968;;;;;;;;
1715;2172;;;;;11975;1265;3784;;;4976;;;;;;;;
1716;2173;;;;;11977;1266;3788;;;4979;;;;;;;;
1717;2176;;;;;11978;1267;3789;;;4982;;;;;;;;
1720;2177;;;;;11980;1268;3802;;;4987;;;;;;;;
1721;2180;;;;;11981;1269;3803;;;4990;;;;;;;;
1724;2185;;;;;11982;1270;3804;;;4995;;;;;;;;
1725;2186;;;;;11984;1273;3805;;;4996;;;;;;;;
1735;2191;;;;;11986;1275;3807;;;4999;;;;;;;;
1736;2195;;;;;11987;1278;3810;;;5001;;;;;;;;
1737;2196;;;;;11988;1279;3811;;;5002;;;;;;;;
1741;2197;;;;;11989;1280;3813;;;5003;;;;;;;;
1742;2198;;;;;11990;1281;3814;;;5006;;;;;;;;
1743;2199;;;;;11992;1282;3815;;;5009;;;;;;;;
1744;2200;;;;;11993;1283;3820;;;5010;;;;;;;;
1752;2205;;;;;11994;1284;3821;;;5014;;;;;;;;
1753;2209;;;;;11996;1285;3833;;;5015;;;;;;;;
1754;2210;;;;;11998;1286;3836;;;5016;;;;;;;;
1755;2211;;;;;11999;1287;3840;;;5017;;;;;;;;
1757;2214;;;;;12000;1288;3846;;;5021;;;;;;;;
1758;2215;;;;;12001;1290;3852;;;5026;;;;;;;;
1759;2216;;;;;12002;1291;3854;;;5029;;;;;;;;
1760;2218;;;;;12003;1292;3856;;;5041;;;;;;;;
1767;2219;;;;;12004;1293;3857;;;5042;;;;;;;;
1769;2220;;;;;12005;1294;3860;;;5043;;;;;;;;
1773;2221;;;;;12007;1296;3862;;;5048;;;;;;;;
1774;2222;;;;;12008;1297;3864;;;5049;;;;;;;;
1775;2223;;;;;12009;1298;3868;;;5050;;;;;;;;
1776;2227;;;;;12010;1299;3869;;;5051;;;;;;;;
1777;2228;;;;;12011;1300;3871;;;5052;;;;;;;;
1785;2229;;;;;12012;1301;3874;;;5055;;;;;;;;
1786;2233;;;;;12013;1302;3877;;;5056;;;;;;;;
1787;2234;;;;;12014;1304;3879;;;5057;;;;;;;;
1788;2235;;;;;12016;1306;3880;;;5058;;;;;;;;
1792;2237;;;;;12017;1307;3881;;;5064;;;;;;;;
1793;2238;;;;;12018;1308;3882;;;5066;;;;;;;;
1794;2245;;;;;12019;1309;3883;;;5068;;;;;;;;
1795;2251;;;;;12020;1310;3884;;;5071;;;;;;;;
1798;2252;;;;;12021;1311;3888;;;5075;;;;;;;;
1799;2253;;;;;12022;1313;3891;;;5076;;;;;;;;
1800;2254;;;;;12023;1314;3892;;;5077;;;;;;;;
1801;2255;;;;;12024;1315;3893;;;5078;;;;;;;;
1807;2257;;;;;12025;1316;3895;;;5084;;;;;;;;
1808;2258;;;;;12026;1317;3897;;;5089;;;;;;;;
1809;2259;;;;;12027;1319;3907;;;5092;;;;;;;;
1812;2260;;;;;12028;1321;3910;;;5098;;;;;;;;
1813;2268;;;;;12029;1322;3913;;;5101;;;;;;;;
1817;2272;;;;;12030;1324;3924;;;5102;;;;;;;;
1818;2273;;;;;12031;1325;3927;;;5103;;;;;;;;
1819;2274;;;;;12032;1327;3930;;;5105;;;;;;;;
1820;2279;;;;;12033;1328;3937;;;5106;;;;;;;;
1824;2280;;;;;12034;1329;3940;;;5109;;;;;;;;
1830;2281;;;;;12035;1330;3943;;;5110;;;;;;;;
1831;2285;;;;;12036;1331;3947;;;5113;;;;;;;;
1832;2287;;;;;12038;1332;3948;;;5117;;;;;;;;
1836;2291;;;;;12040;1333;3952;;;5118;;;;;;;;
1837;2292;;;;;12041;1334;3953;;;5119;;;;;;;;
1838;2297;;;;;12042;1335;3954;;;5120;;;;;;;;
1839;2298;;;;;12043;1336;3960;;;5126;;;;;;;;
1840;2299;;;;;12044;1337;3962;;;5127;;;;;;;;
1845;2300;;;;;12045;1338;3964;;;5128;;;;;;;;
1846;2304;;;;;12047;1341;3966;;;5132;;;;;;;;
1847;2305;;;;;12050;1342;3970;;;5137;;;;;;;;
1852;2306;;;;;12051;1344;3973;;;5139;;;;;;;;
1853;2307;;;;;12053;1345;3978;;;5142;;;;;;;;
1857;2308;;;;;12055;1348;3980;;;5146;;;;;;;;
1859;2311;;;;;12056;1349;3981;;;5147;;;;;;;;
1860;2312;;;;;12057;1350;3984;;;5151;;;;;;;;
1861;2317;;;;;12058;1352;3985;;;5155;;;;;;;;
1864;2319;;;;;12059;1353;3991;;;5156;;;;;;;;
1872;2320;;;;;12060;1354;3997;;;5157;;;;;;;;
1873;2323;;;;;12061;1355;4008;;;5158;;;;;;;;
1877;2324;;;;;12062;1356;4010;;;5162;;;;;;;;
1878;2327;;;;;12063;1358;4017;;;5165;;;;;;;;
1879;2330;;;;;12064;1359;4018;;;5172;;;;;;;;
1883;2331;;;;;12066;1360;4023;;;5173;;;;;;;;
1884;2332;;;;;12067;1362;4024;;;5174;;;;;;;;
1885;2343;;;;;12068;1363;4032;;;5176;;;;;;;;
1886;2344;;;;;12069;1364;4034;;;5178;;;;;;;;
1887;2345;;;;;12070;1365;4041;;;5179;;;;;;;;
1898;2346;;;;;12072;1366;4043;;;5180;;;;;;;;
1899;2349;;;;;12073;1368;4044;;;5181;;;;;;;;
1902;2350;;;;;12074;1369;4046;;;5182;;;;;;;;
1903;2353;;;;;12075;1370;4047;;;5184;;;;;;;;
1906;2354;;;;;12077;1372;4054;;;5190;;;;;;;;
1907;2358;;;;;12079;1373;4056;;;5194;;;;;;;;
1908;2364;;;;;12080;1374;4059;;;5195;;;;;;;;
1913;2365;;;;;12081;1375;4060;;;5196;;;;;;;;
1914;2366;;;;;12082;1376;4061;;;5197;;;;;;;;
1915;2367;;;;;12085;1377;4064;;;5198;;;;;;;;
1918;2370;;;;;12087;1378;4065;;;5200;;;;;;;;
1919;2376;;;;;12089;1379;4072;;;5201;;;;;;;;
1920;2377;;;;;12090;1380;4083;;;5205;;;;;;;;
1923;2380;;;;;12092;1381;4086;;;5206;;;;;;;;
1924;2387;;;;;12094;1382;4088;;;5209;;;;;;;;
1927;2388;;;;;12095;1387;4090;;;5210;;;;;;;;
1928;2389;;;;;12096;1391;4092;;;5212;;;;;;;;
1929;2391;;;;;12099;1392;4094;;;5214;;;;;;;;
1930;2392;;;;;12100;1395;4102;;;5215;;;;;;;;
1931;2396;;;;;12102;1396;4103;;;5218;;;;;;;;
1932;2397;;;;;12103;1398;4106;;;5219;;;;;;;;
1935;2398;;;;;12106;1399;4107;;;5223;;;;;;;;
1936;2399;;;;;12108;1400;4113;;;5229;;;;;;;;
1940;2403;;;;;12109;1401;4114;;;5232;;;;;;;;
1944;2404;;;;;12112;1403;4118;;;5235;;;;;;;;
1945;2405;;;;;12114;1404;4123;;;5236;;;;;;;;
1946;2406;;;;;12115;1406;4126;;;5239;;;;;;;;
1947;2407;;;;;12116;1407;4129;;;5244;;;;;;;;
1948;2408;;;;;12117;1408;4134;;;5246;;;;;;;;
1952;2413;;;;;12118;1409;4140;;;5248;;;;;;;;
1953;2414;;;;;12120;1410;4141;;;5249;;;;;;;;
1954;2415;;;;;12125;1411;4142;;;5253;;;;;;;;
1957;2416;;;;;12126;1412;4148;;;5256;;;;;;;;
1958;2418;;;;;12127;1413;4156;;;5257;;;;;;;;
1960;2419;;;;;12129;1414;4160;;;5258;;;;;;;;
1965;2421;;;;;12130;1415;4165;;;5259;;;;;;;;
1966;2422;;;;;12133;1416;4178;;;5262;;;;;;;;
1967;2427;;;;;12134;1417;4184;;;5263;;;;;;;;
1968;2428;;;;;12138;1418;4190;;;5264;;;;;;;;
1974;2434;;;;;12139;1419;4194;;;5268;;;;;;;;
1975;2442;;;;;12140;1421;4200;;;5270;;;;;;;;
1979;2443;;;;;12143;1423;4203;;;5274;;;;;;;;
1983;2444;;;;;12144;1425;4206;;;5275;;;;;;;;
1984;2447;;;;;12146;1426;4210;;;5276;;;;;;;;
1987;2448;;;;;12147;1427;4211;;;5279;;;;;;;;
1988;2449;;;;;12148;1428;4223;;;5280;;;;;;;;
1989;2454;;;;;12149;1431;4226;;;5282;;;;;;;;
1990;2455;;;;;12150;1432;4228;;;5285;;;;;;;;
1991;2458;;;;;12151;1433;4232;;;5286;;;;;;;;
1994;2459;;;;;12154;1434;4237;;;5288;;;;;;;;
1995;2460;;;;;12156;1435;4243;;;5297;;;;;;;;
1999;2464;;;;;12157;1436;4246;;;5305;;;;;;;;
2003;2466;;;;;12158;1437;4249;;;5306;;;;;;;;
2004;2470;;;;;12160;1439;4255;;;5307;;;;;;;;
2006;2471;;;;;12161;1440;4256;;;5312;;;;;;;;
2007;2475;;;;;12162;1441;4258;;;5313;;;;;;;;
2013;2476;;;;;12164;1442;4259;;;5316;;;;;;;;
2014;2480;;;;;12166;1444;4260;;;5318;;;;;;;;
2015;2481;;;;;12168;1445;4269;;;5323;;;;;;;;
2016;2482;;;;;12169;1446;4273;;;5324;;;;;;;;
2017;2485;;;;;12171;1447;4274;;;5325;;;;;;;;
2018;2486;;;;;12172;1449;4277;;;5326;;;;;;;;
2021;2487;;;;;12176;1451;4280;;;5328;;;;;;;;
2022;2488;;;;;12177;1454;4281;;;5329;;;;;;;;
2026;2493;;;;;12179;1455;4294;;;5332;;;;;;;;
2027;2495;;;;;12184;1457;4295;;;5333;;;;;;;;
2029;2497;;;;;12185;1458;4296;;;5340;;;;;;;;
2030;2498;;;;;12186;1459;4299;;;5342;;;;;;;;
2034;2502;;;;;12187;1460;4302;;;5343;;;;;;;;
2035;2503;;;;;12188;1461;4303;;;5344;;;;;;;;
2036;2504;;;;;12190;1462;4317;;;5349;;;;;;;;
2037;2505;;;;;12191;1463;4318;;;5350;;;;;;;;
2038;2508;;;;;12192;1464;4320;;;5355;;;;;;;;
2039;2509;;;;;12193;1465;4321;;;5356;;;;;;;;
2040;2515;;;;;12196;1466;4323;;;5362;;;;;;;;
2041;2516;;;;;12198;1467;4328;;;5365;;;;;;;;
2044;2517;;;;;12199;1468;4331;;;5366;;;;;;;;
2045;2519;;;;;12200;1469;4334;;;5369;;;;;;;;
2046;2520;;;;;12202;1471;4335;;;5371;;;;;;;;
2047;2521;;;;;12204;1472;4336;;;5372;;;;;;;;
2048;2525;;;;;12205;1473;4338;;;5378;;;;;;;;
2053;2526;;;;;12206;1475;4346;;;5383;;;;;;;;
2054;2527;;;;;12207;1478;4348;;;5390;;;;;;;;
2055;2528;;;;;12208;1479;4350;;;5391;;;;;;;;
2061;2533;;;;;12210;1480;4354;;;5396;;;;;;;;
2062;2538;;;;;12212;1481;4355;;;5400;;;;;;;;
2063;2542;;;;;12213;1482;4359;;;5402;;;;;;;;
2064;2543;;;;;12215;1483;4364;;;5406;;;;;;;;
2065;2545;;;;;12216;1484;4367;;;5410;;;;;;;;
2070;2550;;;;;12217;1485;4371;;;5412;;;;;;;;
2071;2551;;;;;12219;1486;4375;;;5419;;;;;;;;
2074;2558;;;;;12220;1487;4377;;;5424;;;;;;;;
2076;2559;;;;;12221;1488;4381;;;5426;;;;;;;;
2077;2560;;;;;12222;1489;4383;;;5429;;;;;;;;
2080;2561;;;;;12224;1490;4391;;;5432;;;;;;;;
2081;2562;;;;;12225;1491;4392;;;5433;;;;;;;;
2082;2565;;;;;12226;1492;4397;;;5443;;;;;;;;
2086;2566;;;;;12227;1493;4402;;;5446;;;;;;;;
2087;2567;;;;;12228;1494;4405;;;5455;;;;;;;;
2088;2573;;;;;12229;1496;4419;;;5458;;;;;;;;
2097;2574;;;;;12230;1497;4425;;;5460;;;;;;;;
2098;2575;;;;;12232;1498;4428;;;5464;;;;;;;;
2099;2580;;;;;12233;1500;4436;;;5465;;;;;;;;
2102;2581;;;;;12235;1501;4440;;;5467;;;;;;;;
2105;2582;;;;;12236;1502;4446;;;5470;;;;;;;;
2107;2587;;;;;12237;1503;4463;;;5474;;;;;;;;
2109;2591;;;;;12240;1504;4467;;;5476;;;;;;;;
2110;2596;;;;;12242;1505;4476;;;5480;;;;;;;;
2112;2597;;;;;12244;1506;4477;;;5481;;;;;;;;
2113;2598;;;;;12246;1507;4479;;;5482;;;;;;;;
2114;2599;;;;;12248;1508;4483;;;5483;;;;;;;;
2118;2604;;;;;12249;1509;4492;;;5484;;;;;;;;
2119;2605;;;;;12250;1510;4493;;;5488;;;;;;;;
2121;2606;;;;;12251;1511;4499;;;5497;;;;;;;;
2122;2611;;;;;12252;1512;4501;;;5498;;;;;;;;
2123;2612;;;;;12255;1513;4502;;;5506;;;;;;;;
2126;2616;;;;;12260;1514;4510;;;5509;;;;;;;;
2127;2617;;;;;12262;1515;4518;;;5515;;;;;;;;
2128;2621;;;;;12264;1516;4530;;;5516;;;;;;;;
2133;2622;;;;;12265;1517;4537;;;5519;;;;;;;;
2134;2623;;;;;12267;1518;4546;;;5520;;;;;;;;
2136;2624;;;;;12269;1521;4556;;;5525;;;;;;;;
2137;2629;;;;;12270;1522;4563;;;5531;;;;;;;;
2138;2630;;;;;12271;1523;4569;;;5532;;;;;;;;
2139;2631;;;;;12272;1524;4570;;;5533;;;;;;;;
2144;2639;;;;;12273;1525;4574;;;5535;;;;;;;;
2145;2657;;;;;12274;1526;4575;;;5536;;;;;;;;
2146;2658;;;;;12276;1529;4576;;;5540;;;;;;;;
2147;2664;;;;;12277;1532;4587;;;5543;;;;;;;;
2148;2665;;;;;12278;1533;4588;;;5550;;;;;;;;
2149;2667;;;;;12279;1534;4589;;;5558;;;;;;;;
2150;2668;;;;;12281;1535;4595;;;5561;;;;;;;;
2151;2673;;;;;12287;1537;4606;;;5562;;;;;;;;
2153;2674;;;;;12288;1538;4607;;;5567;;;;;;;;
2154;2675;;;;;12289;1539;4609;;;5570;;;;;;;;
2156;2676;;;;;12290;1540;4619;;;5574;;;;;;;;
2157;2680;;;;;12293;1541;4622;;;5575;;;;;;;;
2160;2685;;;;;12298;1542;4638;;;5578;;;;;;;;
2161;2689;;;;;12299;1543;4641;;;5582;;;;;;;;
2162;2690;;;;;12300;1544;4642;;;5583;;;;;;;;
2166;2694;;;;;12302;1545;4644;;;5588;;;;;;;;
2169;2695;;;;;12303;1546;4651;;;5590;;;;;;;;
2170;2699;;;;;12304;1549;4657;;;5598;;;;;;;;
2171;2705;;;;;12307;1551;4661;;;5601;;;;;;;;
2174;2706;;;;;12308;1552;4666;;;5603;;;;;;;;
2175;2710;;;;;12311;1553;4667;;;5604;;;;;;;;
2178;2721;;;;;12313;1554;4677;;;5606;;;;;;;;
2179;2722;;;;;12314;1555;4680;;;5607;;;;;;;;
2181;2726;;;;;12315;1556;4686;;;5608;;;;;;;;
2182;2727;;;;;12317;1557;4688;;;5609;;;;;;;;
2183;2729;;;;;12318;1558;4693;;;5615;;;;;;;;
2184;2730;;;;;12319;1559;4702;;;5620;;;;;;;;
2187;2735;;;;;12321;1561;4703;;;5621;;;;;;;;
2188;2740;;;;;12325;1562;4704;;;5623;;;;;;;;
2189;2741;;;;;12326;1563;4707;;;5624;;;;;;;;
2190;2744;;;;;12327;1564;4712;;;5625;;;;;;;;
2192;2745;;;;;12328;1565;4717;;;5631;;;;;;;;
2193;2746;;;;;12330;1566;4718;;;5632;;;;;;;;
2194;2749;;;;;12331;1567;4719;;;5633;;;;;;;;
2201;2750;;;;;12332;1568;4724;;;5643;;;;;;;;
2202;2755;;;;;12334;1569;4726;;;5645;;;;;;;;
2203;2759;;;;;12335;1570;4727;;;5647;;;;;;;;
2204;2760;;;;;12336;1571;4728;;;5652;;;;;;;;
2206;2761;;;;;12337;1572;4731;;;5653;;;;;;;;
2207;2762;;;;;12338;1574;4742;;;5657;;;;;;;;
2212;2776;;;;;12341;1575;4745;;;5658;;;;;;;;
2213;2783;;;;;12343;1576;4746;;;5660;;;;;;;;
2217;2785;;;;;12346;1577;4759;;;5661;;;;;;;;
2224;2786;;;;;12347;1580;4760;;;5662;;;;;;;;
2225;2787;;;;;12348;1581;4763;;;5665;;;;;;;;
2226;2792;;;;;12350;1582;4772;;;5668;;;;;;;;
2230;2793;;;;;12352;1583;4773;;;5670;;;;;;;;
2231;2794;;;;;12354;1584;4775;;;5672;;;;;;;;
2232;2795;;;;;12355;1585;4779;;;5674;;;;;;;;
2236;2796;;;;;12356;1586;4781;;;5677;;;;;;;;
2239;2801;;;;;12357;1589;4788;;;5694;;;;;;;;
2240;2804;;;;;12359;1594;4789;;;5696;;;;;;;;
2241;2805;;;;;12361;1595;4798;;;5698;;;;;;;;
2242;2809;;;;;12362;1596;4799;;;5706;;;;;;;;
2243;2810;;;;;12363;1597;4801;;;5708;;;;;;;;
2244;2814;;;;;12366;1598;4802;;;5709;;;;;;;;
2246;2822;;;;;12368;1599;4808;;;5710;;;;;;;;
2247;2824;;;;;12371;1600;4814;;;5713;;;;;;;;
2248;2828;;;;;12372;1601;4821;;;5714;;;;;;;;
2249;2829;;;;;12373;1603;4833;;;5718;;;;;;;;
2250;2830;;;;;12374;1604;4834;;;5723;;;;;;;;
2256;2837;;;;;12375;1605;4835;;;5729;;;;;;;;
2261;2838;;;;;12376;1606;4837;;;5730;;;;;;;;
2262;2839;;;;;12377;1607;4838;;;5732;;;;;;;;
2263;2843;;;;;12378;1608;4839;;;5734;;;;;;;;
2264;2849;;;;;12379;1609;4840;;;5736;;;;;;;;
2265;2854;;;;;12380;1610;4847;;;5739;;;;;;;;
2266;2863;;;;;12381;1611;4848;;;5744;;;;;;;;
2267;2864;;;;;12382;1612;4850;;;5746;;;;;;;;
2269;2865;;;;;12383;1613;4852;;;5748;;;;;;;;
2270;2866;;;;;12384;1614;4854;;;5753;;;;;;;;
2271;2867;;;;;12385;1615;4855;;;5761;;;;;;;;
2275;2868;;;;;12386;1616;4862;;;5765;;;;;;;;
2276;2869;;;;;12387;1617;4863;;;5768;;;;;;;;
2277;2877;;;;;12388;1618;4865;;;5772;;;;;;;;
2278;2878;;;;;12389;1621;4866;;;5775;;;;;;;;
2282;2879;;;;;12391;1622;4881;;;5786;;;;;;;;
2283;2880;;;;;12392;1623;4883;;;5787;;;;;;;;
2284;2881;;;;;12393;1624;4885;;;5789;;;;;;;;
2286;2886;;;;;12394;1625;4886;;;5800;;;;;;;;
2288;2887;;;;;12396;1626;4893;;;5814;;;;;;;;
2289;2889;;;;;12397;1627;4895;;;5816;;;;;;;;
2290;2890;;;;;12398;1628;4896;;;5822;;;;;;;;
2293;2891;;;;;12401;1629;4899;;;5824;;;;;;;;
2294;2893;;;;;12405;1630;4900;;;5830;;;;;;;;
2295;2894;;;;;12406;1631;4903;;;5832;;;;;;;;
2296;2895;;;;;12407;1632;4904;;;5834;;;;;;;;
2301;2896;;;;;12409;1634;4916;;;5835;;;;;;;;
2302;2897;;;;;12410;1635;4918;;;5837;;;;;;;;
2303;2898;;;;;12411;1636;4922;;;5840;;;;;;;;
2309;2903;;;;;12412;1637;4923;;;5842;;;;;;;;
2310;2904;;;;;12413;1638;4927;;;5847;;;;;;;;
2313;2905;;;;;12414;1639;4930;;;5860;;;;;;;;
2314;2912;;;;;12416;1640;4933;;;5862;;;;;;;;
2315;2916;;;;;12418;1641;4934;;;5865;;;;;;;;
2316;2919;;;;;12419;1642;4935;;;5867;;;;;;;;
2318;2920;;;;;12420;1643;4937;;;5869;;;;;;;;
2321;2921;;;;;12422;1644;4938;;;5873;;;;;;;;
2322;2931;;;;;12423;1645;4945;;;5877;;;;;;;;
2325;2932;;;;;12424;1646;4950;;;5879;;;;;;;;
2326;2939;;;;;12425;1647;4952;;;5881;;;;;;;;
2328;2940;;;;;12427;1649;4956;;;5884;;;;;;;;
2329;2942;;;;;12428;1651;4963;;;5886;;;;;;;;
2333;2946;;;;;12429;1653;4964;;;5887;;;;;;;;
2334;2947;;;;;12431;1654;4965;;;5889;;;;;;;;
2335;2948;;;;;12432;1655;4970;;;5890;;;;;;;;
2336;2950;;;;;12435;1657;4972;;;5891;;;;;;;;
2337;2952;;;;;12439;1658;4980;;;5898;;;;;;;;
2338;2953;;;;;12441;1659;4983;;;5899;;;;;;;;
2339;2954;;;;;12442;1660;4991;;;5902;;;;;;;;
2340;2958;;;;;12443;1662;4992;;;5904;;;;;;;;
2341;2961;;;;;12444;1666;4994;;;5910;;;;;;;;
2342;2966;;;;;12445;1667;5004;;;5911;;;;;;;;
2347;2969;;;;;12446;1669;5011;;;5916;;;;;;;;
2348;2971;;;;;12447;1671;5019;;;5917;;;;;;;;
2351;2972;;;;;12448;1672;5023;;;5920;;;;;;;;
2352;2983;;;;;12450;1673;5027;;;5923;;;;;;;;
2355;2990;;;;;12451;1674;5030;;;5926;;;;;;;;
2356;2993;;;;;12453;1675;5033;;;5927;;;;;;;;
2357;2996;;;;;12454;1676;5036;;;5931;;;;;;;;
2359;2998;;;;;12456;1677;5037;;;5932;;;;;;;;
2360;3003;;;;;12458;1680;5038;;;5933;;;;;;;;
2361;3004;;;;;12459;1681;5044;;;5938;;;;;;;;
2362;3008;;;;;12462;1684;5045;;;5943;;;;;;;;
2363;3009;;;;;12465;1685;5054;;;5945;;;;;;;;
2368;3014;;;;;12467;1687;5059;;;5947;;;;;;;;
2369;3026;;;;;12468;1689;5060;;;5951;;;;;;;;
2371;3030;;;;;12469;1690;5065;;;5953;;;;;;;;
2372;3038;;;;;12470;1691;5070;;;5956;;;;;;;;
2373;3043;;;;;12471;1692;5072;;;5957;;;;;;;;
2374;3050;;;;;12472;1693;5081;;;5959;;;;;;;;
2375;3061;;;;;12475;1694;5083;;;5962;;;;;;;;
2378;3062;;;;;12478;1695;5091;;;5963;;;;;;;;
2379;3063;;;;;12479;1696;5100;;;5964;;;;;;;;
2381;3064;;;;;12480;1697;5104;;;5968;;;;;;;;
2382;3065;;;;;12481;1698;5124;;;5974;;;;;;;;
2383;3068;;;;;12483;1699;5129;;;5976;;;;;;;;
2384;3073;;;;;12484;1701;5133;;;5977;;;;;;;;
2385;3075;;;;;12486;1703;5138;;;5978;;;;;;;;
2386;3080;;;;;12489;1704;5159;;;5981;;;;;;;;
2390;3092;;;;;12491;1705;5161;;;5998;;;;;;;;
2393;3093;;;;;12492;1706;5188;;;6000;;;;;;;;
2394;3100;;;;;12493;1708;5199;;;6001;;;;;;;;
2395;3103;;;;;12494;1709;5204;;;6002;;;;;;;;
2400;3108;;;;;12497;1710;5237;;;6003;;;;;;;;
2401;3109;;;;;12498;1712;5238;;;6004;;;;;;;;
2402;3115;;;;;12501;1713;5247;;;6006;;;;;;;;
2409;3116;;;;;12502;1714;5250;;;6009;;;;;;;;
2410;3117;;;;;12504;1715;5266;;;6010;;;;;;;;
2411;3118;;;;;12506;1716;5281;;;6014;;;;;;;;
2412;3123;;;;;12510;1717;5327;;;6017;;;;;;;;
2417;3127;;;;;12511;1718;5361;;;6025;;;;;;;;
2420;3128;;;;;12513;1719;5364;;;6029;;;;;;;;
2423;3129;;;;;12514;1720;5377;;;6031;;;;;;;;
2424;3135;;;;;12515;1721;5394;;;6033;;;;;;;;
2425;3138;;;;;12516;1722;5418;;;6035;;;;;;;;
2426;3145;;;;;12517;1724;5423;;;6044;;;;;;;;
2429;3148;;;;;12518;1725;5438;;;6045;;;;;;;;
2430;3149;;;;;12519;1726;5441;;;6046;;;;;;;;
2431;3150;;;;;12520;1728;5444;;;6049;;;;;;;;
2432;3154;;;;;12521;1729;5454;;;6050;;;;;;;;
2433;3155;;;;;12523;1731;5457;;;6051;;;;;;;;
2435;3157;;;;;12524;1734;5473;;;6055;;;;;;;;
2436;3158;;;;;12525;1735;5479;;;6059;;;;;;;;
2437;3159;;;;;12528;1736;5489;;;6060;;;;;;;;
2438;3162;;;;;12529;1737;5495;;;6062;;;;;;;;
2439;3166;;;;;12530;1739;5501;;;6063;;;;;;;;
2440;3167;;;;;12533;1740;5510;;;6068;;;;;;;;
2441;3168;;;;;12535;1741;5511;;;6077;;;;;;;;
2445;3169;;;;;12536;1742;5513;;;6082;;;;;;;;
2446;3170;;;;;12537;1743;5518;;;6083;;;;;;;;
2450;3173;;;;;12538;1744;5523;;;6086;;;;;;;;
2451;3177;;;;;12542;1745;5539;;;6087;;;;;;;;
2452;3184;;;;;12543;1747;5548;;;6090;;;;;;;;
2453;3185;;;;;12545;1749;5549;;;6091;;;;;;;;
2456;3195;;;;;12546;1750;5560;;;6092;;;;;;;;
2457;3196;;;;;12549;1751;5566;;;6097;;;;;;;;
2461;3197;;;;;12550;1753;5579;;;6101;;;;;;;;
2462;3201;;;;;12551;1754;5580;;;6103;;;;;;;;
2463;3202;;;;;12554;1755;5581;;;6104;;;;;;;;
2465;3206;;;;;12555;1756;5585;;;6107;;;;;;;;
2467;3207;;;;;12557;1757;5587;;;6109;;;;;;;;
2468;3212;;;;;12558;1759;5592;;;6112;;;;;;;;
2472;3214;;;;;12562;1760;5610;;;6117;;;;;;;;
2473;3215;;;;;12563;1761;5611;;;6118;;;;;;;;
2474;3220;;;;;12564;1762;5612;;;6121;;;;;;;;
2477;3221;;;;;12566;1763;5618;;;6123;;;;;;;;
2478;3231;;;;;12567;1766;5619;;;6127;;;;;;;;
2479;3233;;;;;12568;1767;5627;;;6128;;;;;;;;
2483;3236;;;;;12569;1768;5629;;;6132;;;;;;;;
2484;3237;;;;;12571;1769;5635;;;6137;;;;;;;;
2489;3238;;;;;12572;1770;5642;;;6147;;;;;;;;
2490;3239;;;;;12576;1771;5649;;;6150;;;;;;;;
2491;3240;;;;;12578;1772;5650;;;6152;;;;;;;;
2492;3243;;;;;12581;1773;5663;;;6154;;;;;;;;
2494;3246;;;;;12582;1774;5673;;;6164;;;;;;;;
2496;3247;;;;;12583;1775;5675;;;6165;;;;;;;;
2499;3248;;;;;12585;1776;5679;;;6172;;;;;;;;
2500;3252;;;;;12587;1777;5684;;;6175;;;;;;;;
2501;3253;;;;;12588;1780;5685;;;6188;;;;;;;;
2506;3254;;;;;12592;1781;5691;;;6193;;;;;;;;
2507;3259;;;;;12593;1784;5695;;;6195;;;;;;;;
2510;3260;;;;;12596;1785;5699;;;6196;;;;;;;;
2511;3263;;;;;12597;1787;5700;;;6199;;;;;;;;
2512;3268;;;;;12598;1788;5701;;;6201;;;;;;;;
2513;3273;;;;;12601;1789;5711;;;6204;;;;;;;;
2514;3274;;;;;12603;1790;5720;;;6209;;;;;;;;
2518;3275;;;;;12605;1792;5726;;;6217;;;;;;;;
2522;3278;;;;;12606;1793;5727;;;6218;;;;;;;;
2523;3279;;;;;12607;1794;5737;;;6219;;;;;;;;
2524;3280;;;;;12608;1795;5755;;;6223;;;;;;;;
2529;3281;;;;;12609;1796;5757;;;6226;;;;;;;;
2530;3288;;;;;12611;1798;5762;;;6229;;;;;;;;
2531;3289;;;;;12612;1799;5763;;;6237;;;;;;;;
2532;3292;;;;;12614;1801;5766;;;6239;;;;;;;;
2534;3293;;;;;12615;1802;5771;;;6241;;;;;;;;
2535;3294;;;;;12617;1803;5774;;;6244;;;;;;;;
2536;3299;;;;;12619;1808;5781;;;6248;;;;;;;;
2537;3300;;;;;12620;1809;5783;;;6252;;;;;;;;
