,CD14,CD20,CD25,CD3,CD4,CD45,CD45RA,CD45RO,CD68,CD8,Cytokeratin,FoxP3,GATA-3,Ki67,Nuclei,PD1,PDL1,SMA,Vimentin
0,0.0,0.0,23387.563013722036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.344193972107389,0.0,0.0,4926.09867759947,5881.515207607626,783.4583238928203,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1361.486013089766,1.3369757681383656,0.0,7438.096457559081,26524.93656322808,4395.494552043366,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42275.00048440405,301.3730288442401,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71129.88851734246,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,380.8488177886455,30936.208006348737,0.0,0.0,0.0,8300.565628257487
5,2056.9870009306496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4041.859908747586,0.0,0.0,0.0,0.0,492.60613682180843,34188.54542487429,385.6824503409338,0.0,0.0,16447.152206975512
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,146.86594627171615,64511.918865440086,0.0,0.0,0.0,8930.528546284113
7,2887.482123164021,0.0,0.0,0.0,0.0,0.0,1339.853793598326,0.0,75.91209692578478,0.0,0.0,50.53768403563022,0.0,0.0,22415.12215294632,171.08860936112742,0.0,0.0,6370.363471692954
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54033.88333411241,0.0,0.0,32785.79606623489,19524.37328047301
9,5691.146845208102,0.0,0.0,0.0,0.0,0.0,314.99497929653216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33738.02238352264,0.0,0.0,0.0,0.0
10,1819.795063461047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5063.223562987812,362.8158935152167,0.0,0.0,156.82940583400264
11,0.0,0.0,0.0,0.0,0.0,0.0,357.83894353597776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16212.525714028767,205.80113322386578,0.0,160.0710880226935,4579.654471197388
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56103.57761029215,0.0,0.0,0.0,42697.607614620894
13,3365.675879972314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15814.401317028804,81.76114880970415,0.0,0.0,4647.654607905125
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.23735880654148,0.0,0.0,0.0,0.0,62.92439189781729,41565.863784442394,164.5831938254822,0.0,0.0,27155.60928929066
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40620.43988725966,0.0,0.0,0.0,0.0
16,0.0,0.0,42775.39431637587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,237.61539199763232,0.0,0.0,70766.81196890905,24653.927170409035,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1325.034604145662,0.0,0.0,0.0,90919.36521226632,3619.3492530569292,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.104109335402743,50871.16481541312,534.5558931468735,0.0,0.0,44099.04304584836
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46762.74491960943,0.0,0.0,1331.4222731078796,38711.315982843174
20,6510.142110626147,0.0,0.0,0.0,0.0,0.0,99.15985290465716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7204.386706169373,268.42159268358444,0.0,0.0,0.0
21,0.0,0.0,6617.067960833234,0.0,0.0,0.0,3289.563795728575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51574.23490307045,266.3252617803824,0.0,0.0,15218.597378629165
22,0.0,0.0,0.0,0.0,0.0,20818.85234864968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27607.90986636306,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33653.746750905775,0.0,0.0,0.0,16863.772449973512
24,10.030964436120021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50515.84110342333,0.0,0.0,12130.899366017873,11118.484594747004
25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58888.0672795368,71.48955174249656,0.0,15052.71108528854,32160.930637912476
26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49398.21601280657,0.0,0.0,0.0,4923.500059809635
27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44884.96002617132,0.0,0.0,0.0,4271.737384439241
28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34769.13777240969,0.0,0.0,0.0,8470.081511987559
